dataset,run_id,loss,seed,threshold_convention,threshold,threshold_mean,threshold_min,threshold_max,n_images,tp_global_count,fp_global_count,fn_global_count,f1_global,iou_global,precision_global,recall_global,f1_per_image_mean,iou_per_image_mean,precision_per_image_mean,recall_per_image_mean,case_A_both_empty,case_B_gt_empty_pred_nonempty,case_C_gt_nonempty_pred_empty,case_D_both_nonempty,ods_selected_f1_global
Crack500,focal_tversky_seed2,focal_tversky,2,OIS_test_oracle,,0.6315658362989324,0.01,0.99,1124,11872548,5976557,2604820,0.7345402636408865,0.5804532870830416,0.665162090760293,0.8200764116792499,0.6918223752827094,0.5515091041119013,0.6446883525290209,0.8079696197549515,0,0,8,1116,
Crack500,dice_boundary_seed0,dice_boundary,0,fixed_0.5,0.5,0.5,0.5,0.5,1124,10663003,3735021,3814365,0.7385529519391459,0.5854807406101418,0.7405879445679491,0.736529112197742,0.6922676993450377,0.5527582599584445,0.7078860056687749,0.7221113657686887,0,0,16,1108,
Crack500,dice_boundary_seed0,dice_boundary,0,val_selected,0.01,0.009999999999999998,0.01,0.01,1124,10881373,4036364,3595995,0.7403527219923182,0.5877460578990773,0.7294251802401397,0.7516126550074571,0.6949590163649306,0.5554789465798206,0.6969060609431762,0.7391449649030666,0,0,15,1109,
Crack500,dice_boundary_seed0,dice_boundary,0,ODS_test_oracle,0.01,0.009999999999999998,0.01,0.01,1124,10881373,4036364,3595995,0.7403527219923182,0.5877460578990773,0.7294251802401397,0.7516126550074571,0.6949590163649306,0.5554789465798206,0.6969060609431762,0.7391449649030666,0,0,15,1109,0.7403527219923182
Crack500,dice_boundary_seed0,dice_boundary,0,OIS_test_oracle,,0.3707918149466192,0.01,0.99,1124,10782687,3759084,3694681,0.7431431373618631,0.5912710981280789,0.7414975108602659,0.7447960844816544,0.6985108394727524,0.55991639374466,0.7074502497485918,0.7301129073453639,0,0,15,1109,
Crack500,dice_boundary_seed1,dice_boundary,1,fixed_0.5,0.5,0.5,0.5,0.5,1124,10614003,3675999,3863365,0.7379195943181459,0.5846850889975397,0.7427572788303318,0.7331445190866185,0.6840689397952119,0.5462107042085594,0.7080862649401387,0.7076283778229937,0,0,24,1100,
Crack500,dice_boundary_seed1,dice_boundary,1,val_selected,0.01,0.009999999999999998,0.01,0.01,1124,10809284,3941193,3668084,0.7396565843290875,0.5868690827692782,0.7328091152577642,0.7466332278077065,0.686875520728626,0.54904628527538,0.6983170298259286,0.7227711017309582,0,0,23,1101,
Crack500,dice_boundary_seed1,dice_boundary,1,ODS_test_oracle,0.01,0.009999999999999998,0.01,0.01,1124,10809284,3941193,3668084,0.7396565843290875,0.5868690827692782,0.7328091152577642,0.7466332278077065,0.686875520728626,0.54904628527538,0.6983170298259286,0.7227711017309582,0,0,23,1101,0.7396565843290875
Crack500,dice_boundary_seed1,dice_boundary,1,OIS_test_oracle,,0.3729893238434163,0.01,0.99,1124,10714583,3676980,3762785,0.7422916352531377,0.5901937651520176,0.7445044711265899,0.7400919144971655,0.6899605614792239,0.5529225731394807,0.7078281324970707,0.7148968435736339,0,0,23,1101,
Crack500,dice_boundary_seed2,dice_boundary,2,fixed_0.5,0.5,0.5,0.5,0.5,1124,10695892,3847992,3781476,0.7371075513902708,0.5836661326162215,0.7354219821885268,0.7388008649085939,0.6916972202276134,0.5521697151086318,0.7016439295417113,0.7235599591690137,0,0,15,1109,
Crack500,dice_boundary_seed2,dice_boundary,2,val_selected,0.14,0.14,0.14,0.14,1124,10797680,3990406,3679688,0.7379130356221366,0.5846768538536371,0.7301607523786378,0.7458317009003294,0.6928794672185551,0.5533839763452221,0.697127171035908,0.7315192484214956,0,0,13,1111,
Crack500,dice_boundary_seed2,dice_boundary,2,ODS_test_oracle,0.01,0.009999999999999998,0.01,0.01,1124,10950150,4221345,3527218,0.7386556442316186,0.5856098224514168,0.7217581391945883,0.7563633113422275,0.6940928442345359,0.554534579199384,0.6884896416697178,0.7433838068605604,0,0,13,1111,0.7386556442316186
Crack500,dice_boundary_seed2,dice_boundary,2,OIS_test_oracle,,0.39609430604982204,0.01,0.99,1124,10813435,3850631,3663933,0.7421347213043805,0.5899953944781424,0.7374104153650154,0.7469199511955488,0.6984644249068791,0.5600484824004023,0.7024915490489515,0.7312951635241474,0,0,14,1110,
Crack500,dice_cldice_seed0,dice_cldice,0,fixed_0.5,0.5,0.5,0.5,0.5,1124,11530454,5763800,2946914,0.7258335126862582,0.5696535891604674,0.6667216753032539,0.7964468403372768,0.6877398231751852,0.543203970481215,0.6477453597592051,0.7814444979845377,0,0,5,1119,
Crack500,dice_cldice_seed0,dice_cldice,0,val_selected,0.31,0.30999999999999994,0.31,0.31,1124,11581182,5848520,2896186,0.7259320269770931,0.5697749589095443,0.66445094700988,0.799950792160564,0.6879578844659248,0.5434506884980832,0.6453466545534322,0.7853365657816695,0,0,5,1119,
Crack500,dice_cldice_seed0,dice_cldice,0,ODS_test_oracle,0.26,0.26,0.26,0.26,1124,11596464,5874543,2880904,0.7259501617844413,0.569797303064071,0.6637547566662871,0.8010063707712617,0.6880051982053237,0.543505235285683,0.6446088496587041,0.7864922321087351,0,0,5,1119,0.7259501617844413
Crack500,dice_cldice_seed0,dice_cldice,0,OIS_test_oracle,,0.46494661921708186,0.01,0.99,1124,11604068,5680236,2873300,0.7306962933185633,0.5756670286805912,0.6713644934733849,0.8015316043634451,0.6936846714221306,0.5499854004053658,0.649906648652576,0.7845767652494648,0,0,5,1119,
Crack500,dice_cldice_seed1,dice_cldice,1,fixed_0.5,0.5,0.5,0.5,0.5,1124,11623901,5992924,2853467,0.7243616314016682,0.5678424616512554,0.6598181567904545,0.8029015356935045,0.6840338499826053,0.5402874378499183,0.6448589484982513,0.7876042118203378,0,0,5,1119,
Crack500,dice_cldice_seed1,dice_cldice,1,val_selected,0.5,0.5,0.5,0.5,1124,11623901,5992924,2853467,0.7243616314016682,0.5678424616512554,0.6598181567904545,0.8029015356935045,0.6840338499826053,0.5402874378499183,0.6448589484982513,0.7876042118203378,0,0,5,1119,
Crack500,dice_cldice_seed1,dice_cldice,1,ODS_test_oracle,0.7,0.7000000000000002,0.7,0.7,1124,11577772,5907735,2899596,0.7244512266183815,0.5679525877303637,0.662135332993204,0.7997152521093613,0.6839226839986842,0.5401825347371022,0.6472521548316623,0.7841252608802466,0,0,5,1119,0.7244512266183815
Crack500,dice_cldice_seed1,dice_cldice,1,OIS_test_oracle,,0.5502491103202847,0.01,0.99,1124,11646984,5800084,2830384,0.7296594997011067,0.5743810415628157,0.6675611053960471,0.8044959553421589,0.6904281789387892,0.5474661938640109,0.6492469172624534,0.7880904367253134,0,0,5,1119,
Crack500,dice_cldice_seed2,dice_cldice,2,fixed_0.5,0.5,0.5,0.5,0.5,1124,11312041,5379636,3165327,0.7258509845264749,0.5696751131238126,0.677705481600201,0.7813603273744233,0.6846269213726203,0.5407262279261503,0.6582120573154281,0.7644392001322659,0,0,8,1116,
Crack500,dice_cldice_seed2,dice_cldice,2,val_selected,0.5,0.5,0.5,0.5,1124,11312041,5379636,3165327,0.7258509845264749,0.5696751131238126,0.677705481600201,0.7813603273744233,0.6846269213726203,0.5407262279261503,0.6582120573154281,0.7644392001322659,0,0,8,1116,
Crack500,dice_cldice_seed2,dice_cldice,2,ODS_test_oracle,0.5,0.5,0.5,0.5,1124,11312041,5379636,3165327,0.7258509845264749,0.5696751131238126,0.677705481600201,0.7813603273744233,0.6846269213726203,0.5407262279261503,0.6582120573154281,0.7644392001322659,0,0,8,1116,0.7258509845264749
Crack500,dice_cldice_seed2,dice_cldice,2,OIS_test_oracle,,0.4737811387900356,0.01,0.99,1124,11393688,5253069,3083680,0.7321451125132031,0.5774675948637124,0.6844388970175993,0.7869999574508295,0.692513155784727,0.5496064017579164,0.659840263829588,0.7697107965462335,0,0,7,1117,
DeepCrack,bce_seed0,bce,0,fixed_0.5,0.5,0.5,0.5,0.5,237,1655855,166713,486408,0.8352714150994077,0.7171382465647109,0.9085285158084636,0.7729466456732903,0.8086771187550749,0.6991606662304464,0.8937733514327213,0.7754991794469954,0,0,0,237,
DeepCrack,bce_seed0,bce,0,val_selected,0.48,0.4800000000000001,0.48,0.48,237,1669264,175315,472999,0.8373865831653223,0.7202622738048083,0.9049566323806136,0.7792059144932252,0.8109070526848701,0.7021255746033341,0.8896456573353396,0.7823693243312927,0,0,0,237,
DeepCrack,bce_seed0,bce,0,ODS_test_oracle,0.28,0.2800000000000002,0.28,0.28,237,1791368,290406,350895,0.8481781764695716,0.7363796718748009,0.8605007075696017,0.8362035847139216,0.8207886816590408,0.7144820017783923,0.8391204289592985,0.8441314962227513,0,0,0,237,0.8481781764695716
DeepCrack,bce_seed0,bce,0,OIS_test_oracle,,0.34603375527426156,0.02,0.96,237,1838948,225293,303315,0.8743355527535455,0.776728406846554,0.8908591584025315,0.8584137428504344,0.8515710474641796,0.7545325925364134,0.8664943142380402,0.8427752176281246,0,0,0,237,
DeepCrack,focal_seed0,focal,0,fixed_0.5,0.5,0.5,0.5,0.5,237,1602344,160752,539919,0.8205873006809361,0.6957592547161005,0.9088240231955605,0.747967919905259,0.796953217722847,0.681075019018852,0.8976276933955573,0.7551187929148448,0,0,0,237,
DeepCrack,focal_seed0,focal,0,val_selected,0.49,0.4900000000000002,0.49,0.49,237,1620636,171437,521627,0.8238421934476364,0.7004520897264123,0.9043359282797073,0.7565065540505531,0.8003253708511496,0.6854465770208815,0.8926196669481713,0.7641364519008257,0,0,0,237,
DeepCrack,focal_seed0,focal,0,ODS_test_oracle,0.39,0.39,0.39,0.39,237,1788816,322743,353447,0.841039422900159,0.7256842376854256,0.8471541642928282,0.8350123210828923,0.8158981484165212,0.7062758738457968,0.8313066870315052,0.8445390383732092,0,0,0,237,0.841039422900159
DeepCrack,focal_seed0,focal,0,OIS_test_oracle,,0.40683544303797464,0.12,0.77,237,1875909,240306,266354,0.8810232200330729,0.787347187006966,0.8864453753517483,0.8756669932683335,0.8585145707981213,0.7619548189752956,0.8658040872446912,0.8542166765618809,0,0,0,237,
DeepCrack,bce_dice_seed0,bce_dice,0,fixed_0.5,0.5,0.5,0.5,0.5,237,1637435,140047,504828,0.8354803692587145,0.7174463591711906,0.9212104538892658,0.7643482616280074,0.8211849692400317,0.7134543655289202,0.9010478624811257,0.7874103630922407,0,0,0,237,
DeepCrack,bce_dice_seed0,bce_dice,0,val_selected,0.52,0.5199999999999999,0.52,0.52,237,1631852,137085,510411,0.8344508079361833,0.7159292920607121,0.9225043062585044,0.7617421390370837,0.8202919910173135,0.7122737810790839,0.9025226991880823,0.7848202286960021,0,0,0,237,
DeepCrack,bce_dice_seed0,bce_dice,0,ODS_test_oracle,0.08,0.08,0.08,0.08,237,1791128,275443,351135,0.8511278895770182,0.7408378024457896,0.8667149592247254,0.8360915536514424,0.8296492198944893,0.7237732192343164,0.8406531070387551,0.8567887189702138,0,0,0,237,0.8511278895770182
DeepCrack,bce_dice_seed0,bce_dice,0,OIS_test_oracle,,0.30957805907172997,0.01,0.99,237,1819379,182251,322884,0.8781013409371333,0.7826922100705782,0.9089487068039548,0.8492790100935319,0.8611110479024366,0.7670376262913104,0.8884689637943579,0.8436599018957911,0,0,0,237,
DeepCrack,focal_tversky_seed0,focal_tversky,0,fixed_0.5,0.5,0.5,0.5,0.5,237,1927968,487164,214295,0.8460833436645276,0.733227429398116,0.7982868017151857,0.8999679311083653,0.8290721151284629,0.7245121869951953,0.8057578919248939,0.8940025222174145,0,0,0,237,
DeepCrack,focal_tversky_seed0,focal_tversky,0,val_selected,0.99,0.99,0.99,0.99,237,1751673,219784,390590,0.8516248067442607,0.7415910860368147,0.888516969936448,0.8176741137759462,0.8227144180258591,0.716676190666541,0.8796675146621411,0.8088960335006199,0,0,0,237,
DeepCrack,focal_tversky_seed0,focal_tversky,0,ODS_test_oracle,0.88,0.8800000000000002,0.88,0.88,237,1866072,327525,276191,0.8607621094777045,0.7555595864908243,0.850690441316249,0.871075120094965,0.8329883445048833,0.7298729566786925,0.8399755814564551,0.8632222079942066,0,0,0,237,0.8607621094777045
DeepCrack,focal_tversky_seed0,focal_tversky,0,OIS_test_oracle,,0.650675105485232,0.01,0.99,237,1930824,309083,211439,0.8812182092433657,0.7876586985272581,0.8620107888407867,0.9013011007518684,0.858373893794073,0.7643623910870488,0.8438274483855401,0.8887218025752424,0,0,0,237,
DeepCrack,dice_boundary_seed0,dice_boundary,0,fixed_0.5,0.5,0.5,0.5,0.5,237,1621226,128513,521037,0.8331064578075756,0.7139524109819727,0.9265530459114187,0.7567819637458146,0.8138314721119718,0.7075343831146848,0.9068518099563675,0.7741815896110549,0,0,0,237,
DeepCrack,dice_boundary_seed0,dice_boundary,0,val_selected,0.5,0.5,0.5,0.5,237,1621226,128513,521037,0.8331064578075756,0.7139524109819727,0.9265530459114187,0.7567819637458146,0.8138314721119718,0.7075343831146848,0.9068518099563675,0.7741815896110549,0,0,0,237,
DeepCrack,dice_boundary_seed0,dice_boundary,0,ODS_test_oracle,0.09,0.09,0.09,0.09,237,1731920,234017,410343,0.8431527189523392,0.7288366690794014,0.880964140763412,0.8084534905378098,0.8201000744335858,0.7140188207106034,0.8540690993662934,0.8293476867092453,0,0,0,237,0.8431527189523392
DeepCrack,dice_boundary_seed0,dice_boundary,0,OIS_test_oracle,,0.31025316455696206,0.01,0.99,237,1785793,204566,356470,0.8642421203778134,0.7609386964282442,0.8972215565131717,0.8336011964917472,0.8481931372673935,0.7520263823989235,0.8774503816778106,0.8334585884486965,0,0,0,237,
DeepCrack,dice_cldice_seed0,dice_cldice,0,fixed_0.5,0.5,0.5,0.5,0.5,237,1968658,1046418,173605,0.763439440378071,0.6173894472353929,0.6529381017261257,0.918961864159536,0.717212359541484,0.5758162546062728,0.6154640355576041,0.9142956667396699,0,0,1,236,
DeepCrack,dice_cldice_seed0,dice_cldice,0,val_selected,0.99,0.99,0.99,0.99,237,1655832,347017,486431,0.7989323328296075,0.6651851137678365,0.826738311275588,0.772935909363136,0.769607959075135,0.6419343686893744,0.8049009752546908,0.77909860180019,0,0,1,236,
DeepCrack,dice_cldice_seed0,dice_cldice,0,ODS_test_oracle,0.94,0.9399999999999996,0.94,0.94,237,1786801,495819,355462,0.8076150262052126,0.677310637046157,0.7827851328736277,0.8340717269541602,0.7723360014321154,0.6453706978524262,0.7545293132519219,0.8356362847063854,0,0,1,236,0.8076150262052126
DeepCrack,dice_cldice_seed0,dice_cldice,0,OIS_test_oracle,,0.868818565400844,0.42,0.99,237,1863467,696112,278796,0.7926540279320318,0.6565260051966354,0.7280365247566104,0.8698591162709713,0.7972217375767328,0.6760603254277257,0.7620690013976429,0.8560076576242277,0,0,0,237,
